date,open,high,low,close,volume
2006-07-10,3.2220,3.2220,3.1350,3.1592,40000
2006-07-11,3.1399,3.1688,2.9949,3.1041,69700
2006-07-12,3.1060,3.1350,3.0432,3.0916,36800
2006-07-13,3.0432,3.0577,2.9466,3.0046,54500
2006-07-14,2.9853,2.9853,2.8838,2.8983,66900
2006-07-17,2.8838,2.9080,2.8114,2.8838,112000
2006-07-18,2.8983,2.9756,2.8983,2.9708,64600
2006-07-19,2.9563,3.0191,2.9515,2.9515,50600
2006-07-20,2.9708,2.9949,2.9128,2.9225,25800
2006-07-21,2.8935,2.9611,2.8596,2.8645,28000
2006-07-24,2.9128,2.9278,2.8790,2.8935,24100
2006-07-25,2.8983,2.9418,2.8500,2.9032,56500
2006-07-26,2.8983,2.9370,2.7776,2.8162,36700
2006-07-27,2.7921,2.9177,2.7921,2.8790,26400
2006-07-28,2.8597,2.9080,2.8307,2.8355,31600
2006-07-31,2.8355,2.8983,2.8355,2.8983,60700
2006-08-01,2.9032,2.9177,2.8307,2.8597,43000
2006-08-02,2.8549,2.9853,2.8259,2.8838,66400
2006-08-03,2.8597,2.9080,2.8404,2.8983,18600
2006-08-04,2.9032,2.9032,2.8066,2.8742,18500
2006-08-07,2.8838,2.9032,2.8404,2.8549,34700
2006-08-08,2.8549,2.8983,2.8296,2.8597,26600
2006-08-09,2.8887,2.8887,2.8452,2.8452,16100
2006-08-10,2.8162,2.8887,2.8162,2.8645,15100
2006-08-11,2.8162,2.8500,2.8017,2.8066,17700
2006-08-14,2.8017,2.8355,2.7727,2.7727,22800
2006-08-15,2.7776,2.8452,2.7341,2.8017,30200
2006-08-16,2.8017,2.8742,2.8017,2.8645,21600
2006-08-17,2.9138,2.9285,2.7867,2.8307,24100
2006-08-18,2.8014,2.9334,2.8014,2.8209,78300
2006-08-21,2.8356,2.8454,2.7378,2.7574,72500
2006-08-22,2.7280,2.8160,2.7280,2.7623,161200
2006-08-23,2.7867,2.8209,2.7183,2.7378,33500
2006-08-24,2.7134,2.8063,2.7134,2.7818,33900
2006-08-25,2.7378,2.8649,2.7378,2.8356,39100
2006-08-28,2.8600,2.9334,2.8600,2.9285,18700
2006-08-29,2.8600,3.0898,2.8067,3.0898,69600
2006-08-30,3.0556,3.0947,3.0263,3.0458,21400
2006-08-31,3.0654,3.0898,3.0067,3.0165,34800
2006-09-01,2.9823,3.0800,2.9823,3.0507,23800
2006-09-05,3.1289,3.1632,3.0458,3.1240,60200
2006-09-06,3.0800,3.1729,3.0605,3.1632,42800
2006-09-07,3.1778,3.2463,3.1045,3.2463,37000
2006-09-08,3.2512,3.2560,3.0067,3.1680,65500
2006-09-11,3.1778,3.3245,3.1436,3.2512,77700
2006-09-12,3.2023,3.3245,3.1876,3.3245,45400
2006-09-13,3.3245,3.3489,3.2512,3.3196,38600
2006-09-14,3.2952,3.3978,3.2952,3.3978,49000
2006-09-15,3.4174,3.4223,3.3734,3.4174,51700
2006-09-18,3.4223,3.4467,3.3734,3.4076,85800
2006-09-19,3.4467,3.4467,3.4174,3.4418,49700
2006-09-20,3.4712,3.5200,3.4320,3.4614,44100
2006-09-21,3.4467,3.4712,3.4272,3.4272,43500
2006-09-22,3.3880,3.4712,3.3880,3.4467,34600
2006-09-25,3.4712,3.4712,3.3734,3.3783,94200
2006-09-26,3.3734,3.3978,3.2072,3.3294,101200
2006-09-27,3.2952,3.3440,3.1974,3.3000,60200
2006-09-28,3.2903,3.3929,3.2903,3.3392,29300
2006-09-29,3.3538,3.3636,3.3245,3.3489,49600
2006-10-02,3.3098,3.3783,3.3000,3.3000,82500
2006-10-03,3.2609,3.3097,3.2023,3.2707,33900
2006-10-04,3.3489,3.3978,3.2365,3.2952,29000
2006-10-05,3.3000,3.3880,3.2120,3.2658,111700
2006-10-06,3.3000,3.3929,3.2512,3.3440,69200
2006-10-09,3.3978,3.4174,3.3685,3.4125,21000
2006-10-10,3.3832,3.4712,3.3788,3.4272,57100
2006-10-11,3.4320,3.4320,3.3832,3.3832,25800
2006-10-12,3.4223,3.4320,3.3587,3.3929,46600
2006-10-13,3.4223,3.4223,3.3685,3.3880,19100
2006-10-16,3.3734,3.3734,3.3049,3.3587,54200
2006-10-17,3.3489,3.4320,3.3441,3.3929,59400
2006-10-18,3.4320,3.4320,3.4125,3.4223,58700
2006-10-19,3.4320,3.4712,3.4028,3.4663,31400
2006-10-20,3.4467,3.4760,3.3880,3.4712,26300
2006-10-23,3.5005,3.5005,3.4174,3.4565,34700
2006-10-24,3.4907,3.4907,3.4076,3.4565,37200
2006-10-25,3.4760,3.5200,3.4076,3.4760,22700
2006-10-26,3.4516,3.4956,3.3832,3.4907,33100
2006-10-27,3.4956,3.4956,3.4320,3.4712,20900
2006-10-30,3.4418,3.5005,3.4223,3.4858,22200
2006-10-31,3.4272,3.5200,3.4272,3.5200,19700
2006-11-01,3.5200,3.5200,3.4076,3.4076,35400
2006-11-02,3.4369,3.4369,3.3587,3.4223,32300
2006-11-03,3.4223,3.4565,3.4174,3.4174,23200
2006-11-06,3.4760,3.4956,3.3538,3.3636,49400
2006-11-07,3.3587,3.4516,3.3587,3.4369,42300
2006-11-08,3.4320,3.4809,3.4320,3.4467,37300
2006-11-09,3.4223,3.4907,3.3978,3.4516,33000
2006-11-10,3.4809,3.5005,3.4516,3.4809,19100
2006-11-13,3.5005,3.5200,3.4604,3.4663,48400
2006-11-14,3.4369,3.5200,3.4369,3.5152,32500
2006-11-15,3.5249,3.5298,3.4272,3.4956,37000
2006-11-16,3.4217,3.4815,3.3327,3.4760,40700
2006-11-17,3.4612,3.5552,3.4464,3.5403,39400
2006-11-20,3.5601,3.6936,3.5453,3.5848,131900
2006-11-21,3.6392,3.6837,3.5502,3.5799,137500
2006-11-22,3.6293,3.8271,3.6293,3.7727,170300
2006-11-24,3.7925,3.8321,3.6738,3.8271,44500
2006-11-27,3.8321,3.8518,3.7084,3.7282,98300
2006-11-28,3.7084,3.8518,3.6936,3.7974,64600
2006-11-29,3.8271,3.9557,3.8073,3.9557,152600
2006-11-30,3.8667,4.0793,3.8321,4.0793,112800
2006-12-01,3.9853,4.0793,3.9557,4.0249,150700
2006-12-04,3.9458,4.0694,3.7332,3.9754,89000
2006-12-05,3.8963,4.0743,3.8963,4.0546,148700
2006-12-06,3.9359,4.0546,3.9359,4.0546,101200
2006-12-07,4.0546,4.0546,3.9309,3.9389,117600
2006-12-08,4.0546,4.0546,3.8419,3.9408,107100
2006-12-11,3.9161,3.9359,3.6936,3.7579,183400
2006-12-12,3.7134,3.8172,3.6837,3.7332,115300
2006-12-13,3.7332,3.7678,3.6837,3.7678,61600
2006-12-14,3.7529,3.8222,3.7529,3.8024,89600
2006-12-15,3.8073,3.8222,3.7183,3.7381,78300
2006-12-18,3.7332,3.7529,3.6442,3.6590,78000
2006-12-19,3.6392,3.6392,3.5601,3.6125,158900
2006-12-20,3.6343,3.6343,3.5601,3.5799,63500
2006-12-21,3.5898,3.6095,3.5156,3.5601,43300
2006-12-22,3.5749,3.5947,3.5156,3.5799,34800
2006-12-26,3.5650,3.6095,3.5403,3.5650,41600
2006-12-27,3.5799,3.5947,3.5107,3.5453,116700
